Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,17,12,105,12,14,34,31,104,38,77,69
10,12,12,12,12,12,40,12,36,105,29,66,67
11,36,26,17,37,39,38,85,64,75,24,60,46
12,12,12,12,12,12,12,12,12,12,12,12,12
13,24,38,16,47,29,57,12,105,22,23,15,12
14,20,12,23,66,12,19,37,37,105,48,71,70
15,12,12,12,22,105,18,63,46,105,37,52,21
16,35,29,28,52,33,39,46,33,64,28,67,75
17,33,45,22,48,24,22,103,23,12,28,45,20
18,55,12,12,12,12,33,12,12,72,15,105,105
19,12,12,12,12,12,12,12,16,92,16,91,105
20,12,12,12,12,12,12,12,12,12,12,12,12
21,12,12,12,12,12,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
